13	14	15	16	17	4	5	6	7	8	9	10	11	12
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat	Hat	Spade	Nail	UpArrow	Hat	Hat	Nail	UpArrow	LightYellow	Bar	Nail	DarkGreen	LightYellow
Hat	Hat	Spade	Nail	UpArrow	Hat	Hat	Nail	UpArrow	LightYellow	Bar	Nail	DarkGreen	LightYellow
Hat	Hat	Spade	Nail	UpArrow	Hat	Hat	Nail	UpArrow	LightYellow	Bar	Nail	DarkGreen	LightYellow
Hat_Choice	Hat_Choice	Spade_Choice	Nail_Choice	UpArrow_Choice	Hat_Choice	Hat_Choice	Nail_Choice	UpArrow_Choice	LightYellow_Choice	Bar_Choice	Nail_Choice	DarkGreen_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	Nail	UpArrow	UpArrow	Spade	Hat	Nail	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
UpArrow	DarkGray	Nail	UpArrow	UpArrow	Spade	Hat	Nail	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
UpArrow	DarkGray	Nail	UpArrow	UpArrow	Spade	Hat	Nail	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
UpArrow_Choice	DarkGray_Choice	Nail_Choice	UpArrow_Choice	UpArrow_Choice	Spade_Choice	Hat_Choice	Nail_Choice	Hat_Choice	Spade_Choice	Diamond_Choice	Diamond_Choice	DarkGreen_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Nail	Bar	LightTurquiose	Bar	Rabbit	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
DarkGray	Nail	Bar	LightTurquiose	Bar	Rabbit	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
DarkGray	Nail	Bar	LightTurquiose	Bar	Rabbit	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
DarkGray_Choice	Nail_Choice	Bar_Choice	LightTurquiose_Choice	Bar_Choice	Rabbit_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	DarkGray	Rabbit	DarkGreen	Rabbit	UpArrow	Rabbit	Bar	UpArrow
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	DarkGray	Rabbit	DarkGreen	Rabbit	UpArrow	Rabbit	Bar	UpArrow
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	DarkGray	Rabbit	DarkGreen	Rabbit	UpArrow	Rabbit	Bar	UpArrow
Spade_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	UpArrow_Choice	DarkGray_Choice	Rabbit_Choice	DarkGreen_Choice	Rabbit_Choice	UpArrow_Choice	Rabbit_Choice	Bar_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	UpArrow	DarkGreen	Nail	DarkGray	Diamond	Nail	Diamond	DarkGray	Nail	Rabbit	LightYellow	UpArrow	UpArrow
DarkGray	UpArrow	DarkGreen	Nail	DarkGray	Diamond	Nail	Diamond	DarkGray	Nail	Rabbit	LightYellow	UpArrow	UpArrow
DarkGray	UpArrow	DarkGreen	Nail	DarkGray	Diamond	Nail	Diamond	DarkGray	Nail	Rabbit	LightYellow	UpArrow	UpArrow
DarkGray_Choice	UpArrow_Choice	DarkGreen_Choice	Nail_Choice	DarkGray_Choice	Diamond_Choice	Nail_Choice	Diamond_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	LightYellow_Choice	UpArrow_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Nail	LightYellow	Spade	DarkGray	Rabbit	Diamond	Diamond	Nail	Nail
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Nail	LightYellow	Spade	DarkGray	Rabbit	Diamond	Diamond	Nail	Nail
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Nail	LightYellow	Spade	DarkGray	Rabbit	Diamond	Diamond	Nail	Nail
LightYellow_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	Nail_Choice	LightYellow_Choice	Spade_Choice	DarkGray_Choice	Rabbit_Choice	Diamond_Choice	Diamond_Choice	Nail_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Nail	Spade	LightYellow	LightTurquiose	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	UpArrow	Rabbit
Nail	Nail	Spade	LightYellow	LightTurquiose	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	UpArrow	Rabbit
Nail	Nail	Spade	LightYellow	LightTurquiose	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	UpArrow	Rabbit
Nail_Choice	Nail_Choice	Spade_Choice	LightYellow_Choice	LightTurquiose_Choice	DarkGray_Choice	Rabbit_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkGreen_Choice	LightTurquiose_Choice	UpArrow_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	UpArrow	Nail	LightYellow	DarkGray
UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	UpArrow	Nail	LightYellow	DarkGray
UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	UpArrow	Nail	LightYellow	DarkGray
UpArrow_Choice	DarkGreen_Choice	Diamond_Choice	Nail_Choice	LightYellow_Choice	LightTurquiose_Choice	Nail_Choice	DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	UpArrow_Choice	Nail_Choice	LightYellow_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	Rabbit	Bar	Diamond	Diamond	Rabbit	Rabbit	Nail	UpArrow	Rabbit
LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	Rabbit	Bar	Diamond	Diamond	Rabbit	Rabbit	Nail	UpArrow	Rabbit
LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	Rabbit	Bar	Diamond	Diamond	Rabbit	Rabbit	Nail	UpArrow	Rabbit
LightTurquiose_Choice	Diamond_Choice	Hat_Choice	LightTurquiose_Choice	DarkGreen_Choice	Rabbit_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	Rabbit_Choice	Rabbit_Choice	Nail_Choice	UpArrow_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	Nail	UpArrow
DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	Nail	UpArrow
DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	Nail	UpArrow
DarkGray_Choice	Rabbit_Choice	LightTurquiose_Choice	UpArrow_Choice	Hat_Choice	Rabbit_Choice	DarkGreen_Choice	LightYellow_Choice	UpArrow_Choice	LightTurquiose_Choice	Rabbit_Choice	Hat_Choice	Nail_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	Hat	Bar	Bar	Rabbit	Spade	Rabbit	Hat	LightYellow	Rabbit	Rabbit	Nail	LightTurquiose	Hat
Bar	Hat	Bar	Bar	Rabbit	Spade	Rabbit	Hat	LightYellow	Rabbit	Rabbit	Nail	LightTurquiose	Hat
Bar	Hat	Bar	Bar	Rabbit	Spade	Rabbit	Hat	LightYellow	Rabbit	Rabbit	Nail	LightTurquiose	Hat
Bar_Choice	Hat_Choice	Bar_Choice	Bar_Choice	Rabbit_Choice	Spade_Choice	Rabbit_Choice	Hat_Choice	LightYellow_Choice	Rabbit_Choice	Rabbit_Choice	Nail_Choice	LightTurquiose_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow	Nail
Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow	Nail
Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow	Nail
Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	Spade_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	Rabbit_Choice	Rabbit_Choice	Bar_Choice	Spade_Choice	UpArrow_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
