14	15	16	17	18	19	20	21	22	23	5	24	25	26	27	28	29	30	6	7	8	9	10	11	12	13
Bar	DarkGray	DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Rabbit	DarkRed	UpArrow	Bar	Rabbit	DarkGray	Rabbit	UpArrow	LightPurple	DarkGray	Spade	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Diamond	Spade	UpArrow
Bar_Choice	DarkGray_Choice	DarkGray_Choice	Nail_Choice	LightTurquiose_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	DarkRed_Choice	UpArrow_Choice	Bar_Choice	Rabbit_Choice	DarkGray_Choice	Rabbit_Choice	UpArrow_Choice	LightPurple_Choice	DarkGray_Choice	Spade_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Spade_Choice	DarkBlue_Choice	Diamond_Choice	Diamond_Choice	Spade_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	Hat	Hat	Hat	Spade	Nail	DarkRed	DarkBlue	UpArrow	Rabbit	Hat	LightPurple	DarkRed	LightTurquiose	LightPurple	Nail	Diamond	Nail	Hat	Nail	DarkRed	LightYellow	Bar	Bar	Nail	DarkGreen
LightYellow	Hat	Hat	Hat	Spade	Nail	DarkRed	DarkBlue	UpArrow	Rabbit	Hat	LightPurple	DarkRed	LightTurquiose	LightPurple	Nail	Diamond	Nail	Hat	Nail	DarkRed	LightYellow	Bar	Bar	Nail	DarkGreen
LightYellow	Hat	Hat	Hat	Spade	Nail	DarkRed	DarkBlue	UpArrow	Rabbit	Hat	LightPurple	DarkRed	LightTurquiose	LightPurple	Nail	Diamond	Nail	Hat	Nail	DarkRed	LightYellow	Bar	Bar	Nail	DarkGreen
LightYellow_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Spade_Choice	Nail_Choice	DarkRed_Choice	DarkBlue_Choice	UpArrow_Choice	Rabbit_Choice	Hat_Choice	LightPurple_Choice	DarkRed_Choice	LightTurquiose_Choice	LightPurple_Choice	Nail_Choice	Diamond_Choice	Nail_Choice	Hat_Choice	Nail_Choice	DarkRed_Choice	LightYellow_Choice	Bar_Choice	Bar_Choice	Nail_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkRed	DarkRed	DarkGray	DarkBlue	DarkRed	DarkRed	Nail	Diamond	DarkGreen	Spade	LightPurple	Rabbit	LightYellow	DarkBlue	Hat	Hat	DarkBlue	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	Diamond	DarkGreen
Bar	DarkRed	DarkRed	DarkGray	DarkBlue	DarkRed	DarkRed	Nail	Diamond	DarkGreen	Spade	LightPurple	Rabbit	LightYellow	DarkBlue	Hat	Hat	DarkBlue	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	Diamond	DarkGreen
Bar	DarkRed	DarkRed	DarkGray	DarkBlue	DarkRed	DarkRed	Nail	Diamond	DarkGreen	Spade	LightPurple	Rabbit	LightYellow	DarkBlue	Hat	Hat	DarkBlue	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	Diamond	DarkGreen
Bar_Choice	DarkRed_Choice	DarkRed_Choice	DarkGray_Choice	DarkBlue_Choice	DarkRed_Choice	DarkRed_Choice	Nail_Choice	Diamond_Choice	DarkGreen_Choice	Spade_Choice	LightPurple_Choice	Rabbit_Choice	LightYellow_Choice	DarkBlue_Choice	Hat_Choice	Hat_Choice	DarkBlue_Choice	Hat_Choice	DarkBlue_Choice	Hat_Choice	Spade_Choice	Diamond_Choice	Diamond_Choice	Diamond_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	DarkGray	DarkBlue	Bar	LightTurquiose	Bar	Rabbit	LightPurple	Spade	LightPurple	LightYellow	DarkGray	Hat	Rabbit	Hat	DarkBlue	LightYellow	UpArrow	Diamond	Rabbit	Bar	DarkGray	DarkGray	Nail	Rabbit
UpArrow	DarkGray	DarkGray	DarkBlue	Bar	LightTurquiose	Bar	Rabbit	LightPurple	Spade	LightPurple	LightYellow	DarkGray	Hat	Rabbit	Hat	DarkBlue	LightYellow	UpArrow	Diamond	Rabbit	Bar	DarkGray	DarkGray	Nail	Rabbit
UpArrow	DarkGray	DarkGray	DarkBlue	Bar	LightTurquiose	Bar	Rabbit	LightPurple	Spade	LightPurple	LightYellow	DarkGray	Hat	Rabbit	Hat	DarkBlue	LightYellow	UpArrow	Diamond	Rabbit	Bar	DarkGray	DarkGray	Nail	Rabbit
UpArrow_Choice	DarkGray_Choice	DarkGray_Choice	DarkBlue_Choice	Bar_Choice	LightTurquiose_Choice	Bar_Choice	Rabbit_Choice	LightPurple_Choice	Spade_Choice	LightPurple_Choice	LightYellow_Choice	DarkGray_Choice	Hat_Choice	Rabbit_Choice	Hat_Choice	DarkBlue_Choice	LightYellow_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	Spade	Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Hat	LightPurple	DarkRed	Diamond	Rabbit	Rabbit	LightYellow	LightYellow	DarkGreen	Bar	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	UpArrow	Rabbit	Bar
UpArrow	Spade	Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Hat	LightPurple	DarkRed	Diamond	Rabbit	Rabbit	LightYellow	LightYellow	DarkGreen	Bar	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	UpArrow	Rabbit	Bar
UpArrow	Spade	Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Hat	LightPurple	DarkRed	Diamond	Rabbit	Rabbit	LightYellow	LightYellow	DarkGreen	Bar	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	UpArrow	Rabbit	Bar
UpArrow_Choice	Spade_Choice	Spade_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	UpArrow_Choice	Hat_Choice	LightPurple_Choice	DarkRed_Choice	Diamond_Choice	Rabbit_Choice	Rabbit_Choice	LightYellow_Choice	LightYellow_Choice	DarkGreen_Choice	Bar_Choice	DarkGray_Choice	LightPurple_Choice	DarkGreen_Choice	LightPurple_Choice	UpArrow_Choice	UpArrow_Choice	Rabbit_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	DarkGray	DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Diamond	DarkGray	Diamond	LightYellow	Bar	Hat	Rabbit	LightYellow	DarkGray	Bar	Nail	Diamond	DarkGray	DarkBlue	Rabbit	Rabbit	LightYellow	DarkRed
DarkRed	DarkGray	DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Diamond	DarkGray	Diamond	LightYellow	Bar	Hat	Rabbit	LightYellow	DarkGray	Bar	Nail	Diamond	DarkGray	DarkBlue	Rabbit	Rabbit	LightYellow	DarkRed
DarkRed	DarkGray	DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Diamond	DarkGray	Diamond	LightYellow	Bar	Hat	Rabbit	LightYellow	DarkGray	Bar	Nail	Diamond	DarkGray	DarkBlue	Rabbit	Rabbit	LightYellow	DarkRed
DarkRed_Choice	DarkGray_Choice	DarkGray_Choice	DarkRed_Choice	DarkGreen_Choice	Nail_Choice	DarkGray_Choice	DarkGreen_Choice	Diamond_Choice	DarkGray_Choice	Diamond_Choice	LightYellow_Choice	Bar_Choice	Hat_Choice	Rabbit_Choice	LightYellow_Choice	DarkGray_Choice	Bar_Choice	Nail_Choice	Diamond_Choice	DarkGray_Choice	DarkBlue_Choice	Rabbit_Choice	Rabbit_Choice	LightYellow_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	LightYellow	LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Bar	Rabbit	LightYellow	DarkBlue	DarkGray	Hat	DarkGray	Rabbit	DarkRed	Nail	DarkRed	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	Diamond	DarkBlue
Nail	LightYellow	LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Bar	Rabbit	LightYellow	DarkBlue	DarkGray	Hat	DarkGray	Rabbit	DarkRed	Nail	DarkRed	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	Diamond	DarkBlue
Nail	LightYellow	LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Bar	Rabbit	LightYellow	DarkBlue	DarkGray	Hat	DarkGray	Rabbit	DarkRed	Nail	DarkRed	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	Diamond	DarkBlue
Nail_Choice	LightYellow_Choice	LightYellow_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	Bar_Choice	Rabbit_Choice	LightYellow_Choice	DarkBlue_Choice	DarkGray_Choice	Hat_Choice	DarkGray_Choice	Rabbit_Choice	DarkRed_Choice	Nail_Choice	DarkRed_Choice	LightYellow_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	Diamond_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	DarkBlue	DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	Nail	Spade	Spade	DarkGray	DarkBlue	Spade	Spade	DarkRed	DarkGreen	DarkGreen	Bar	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	DarkGreen	LightTurquiose	DarkRed
LightPurple	DarkBlue	DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	Nail	Spade	Spade	DarkGray	DarkBlue	Spade	Spade	DarkRed	DarkGreen	DarkGreen	Bar	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	DarkGreen	LightTurquiose	DarkRed
LightPurple	DarkBlue	DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	Nail	Spade	Spade	DarkGray	DarkBlue	Spade	Spade	DarkRed	DarkGreen	DarkGreen	Bar	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	DarkGreen	LightTurquiose	DarkRed
LightPurple_Choice	DarkBlue_Choice	DarkBlue_Choice	DarkBlue_Choice	Spade_Choice	LightYellow_Choice	LightTurquiose_Choice	Nail_Choice	Spade_Choice	Spade_Choice	DarkGray_Choice	DarkBlue_Choice	Spade_Choice	Spade_Choice	DarkRed_Choice	DarkGreen_Choice	DarkGreen_Choice	Bar_Choice	Rabbit_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkGreen_Choice	DarkGreen_Choice	LightTurquiose_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	UpArrow	UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightYellow	DarkGreen	DarkRed	LightTurquiose	DarkBlue	UpArrow	Spade	LightYellow	Diamond	DarkBlue	Rabbit	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkRed	DarkBlue	LightYellow
DarkGray	UpArrow	UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightYellow	DarkGreen	DarkRed	LightTurquiose	DarkBlue	UpArrow	Spade	LightYellow	Diamond	DarkBlue	Rabbit	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkRed	DarkBlue	LightYellow
DarkGray	UpArrow	UpArrow	DarkGreen	Diamond	Nail	LightYellow	LightYellow	DarkGreen	DarkRed	LightTurquiose	DarkBlue	UpArrow	Spade	LightYellow	Diamond	DarkBlue	Rabbit	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkRed	DarkBlue	LightYellow
DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	DarkGreen_Choice	Diamond_Choice	Nail_Choice	LightYellow_Choice	LightYellow_Choice	DarkGreen_Choice	DarkRed_Choice	LightTurquiose_Choice	DarkBlue_Choice	UpArrow_Choice	Spade_Choice	LightYellow_Choice	Diamond_Choice	DarkBlue_Choice	Rabbit_Choice	Nail_Choice	DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	DarkRed_Choice	DarkRed_Choice	DarkBlue_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	LightTurquiose	LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	LightPurple	UpArrow	Spade	Rabbit	LightTurquiose	Hat	Hat	DarkBlue	Spade	Diamond	Nail	Bar	Diamond	Diamond	LightPurple	LightPurple	LightPurple	DarkBlue	UpArrow
LightPurple	LightTurquiose	LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	LightPurple	UpArrow	Spade	Rabbit	LightTurquiose	Hat	Hat	DarkBlue	Spade	Diamond	Nail	Bar	Diamond	Diamond	LightPurple	LightPurple	LightPurple	DarkBlue	UpArrow
LightPurple	LightTurquiose	LightTurquiose	Diamond	Hat	LightTurquiose	DarkGreen	LightPurple	UpArrow	Spade	Rabbit	LightTurquiose	Hat	Hat	DarkBlue	Spade	Diamond	Nail	Bar	Diamond	Diamond	LightPurple	LightPurple	LightPurple	DarkBlue	UpArrow
LightPurple_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Diamond_Choice	Hat_Choice	LightTurquiose_Choice	DarkGreen_Choice	LightPurple_Choice	UpArrow_Choice	Spade_Choice	Rabbit_Choice	LightTurquiose_Choice	Hat_Choice	Hat_Choice	DarkBlue_Choice	Spade_Choice	Diamond_Choice	Nail_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	LightPurple_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Diamond	Bar	DarkBlue	Rabbit	DarkGreen	LightPurple	DarkGreen	DarkRed	LightYellow	Diamond	Nail	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Rabbit	Hat	DarkBlue
UpArrow	DarkGray	DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Diamond	Bar	DarkBlue	Rabbit	DarkGreen	LightPurple	DarkGreen	DarkRed	LightYellow	Diamond	Nail	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Rabbit	Hat	DarkBlue
UpArrow	DarkGray	DarkGray	Rabbit	LightTurquiose	UpArrow	Hat	Diamond	Bar	DarkBlue	Rabbit	DarkGreen	LightPurple	DarkGreen	DarkRed	LightYellow	Diamond	Nail	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Rabbit	Hat	DarkBlue
UpArrow_Choice	DarkGray_Choice	DarkGray_Choice	Rabbit_Choice	LightTurquiose_Choice	UpArrow_Choice	Hat_Choice	Diamond_Choice	Bar_Choice	DarkBlue_Choice	Rabbit_Choice	DarkGreen_Choice	LightPurple_Choice	DarkGreen_Choice	DarkRed_Choice	LightYellow_Choice	Diamond_Choice	Nail_Choice	DarkGreen_Choice	LightYellow_Choice	UpArrow_Choice	LightTurquiose_Choice	Rabbit_Choice	Rabbit_Choice	Hat_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat	Bar	Bar	Hat	Bar	Bar	LightPurple	LightTurquiose	LightYellow	UpArrow	Spade	DarkGreen	Spade	Nail	DarkRed	Nail	Nail	Diamond	LightPurple	Hat	LightYellow	LightPurple	LightPurple	LightPurple	DarkBlue	LightTurquiose
Hat	Bar	Bar	Hat	Bar	Bar	LightPurple	LightTurquiose	LightYellow	UpArrow	Spade	DarkGreen	Spade	Nail	DarkRed	Nail	Nail	Diamond	LightPurple	Hat	LightYellow	LightPurple	LightPurple	LightPurple	DarkBlue	LightTurquiose
Hat	Bar	Bar	Hat	Bar	Bar	LightPurple	LightTurquiose	LightYellow	UpArrow	Spade	DarkGreen	Spade	Nail	DarkRed	Nail	Nail	Diamond	LightPurple	Hat	LightYellow	LightPurple	LightPurple	LightPurple	DarkBlue	LightTurquiose
Hat_Choice	Bar_Choice	Bar_Choice	Hat_Choice	Bar_Choice	Bar_Choice	LightPurple_Choice	LightTurquiose_Choice	LightYellow_Choice	UpArrow_Choice	Spade_Choice	DarkGreen_Choice	Spade_Choice	Nail_Choice	DarkRed_Choice	Nail_Choice	Nail_Choice	Diamond_Choice	LightPurple_Choice	Hat_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	Diamond	LightTurquiose	DarkBlue	UpArrow	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	Bar	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Bar	Spade	DarkRed
Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	Diamond	LightTurquiose	DarkBlue	UpArrow	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	Bar	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Bar	Spade	DarkRed
Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	Diamond	LightTurquiose	DarkBlue	UpArrow	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	Bar	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Bar	Spade	DarkRed
Nail_Choice	Bar_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	Spade_Choice	Diamond_Choice	LightTurquiose_Choice	DarkBlue_Choice	UpArrow_Choice	DarkRed_Choice	DarkGray_Choice	Bar_Choice	LightTurquiose_Choice	DarkGray_Choice	UpArrow_Choice	Bar_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Bar_Choice	Spade_Choice	DarkRed_Choice
